x-axis,y-axis,z-axis,sensor,rssi,phase,frequency,room_id,gender,activity
-0.17354,0.99674,0.031928,1,-56.0,5.8184,922.75,1,1,0
0.94038,-0.0022966,-0.047893,1,-57.5,6.1651,920.75,1,1,1
-0.0093803,0.95081,0.10035,1,-56.0,1.7717,921.25,1,1,0
0.92865,-0.0022966,-0.03649,1,-58.0,0.021476,920.75,1,1,1
0.96383,-0.0022966,-0.025087,1,-58.5,0.40957,920.25,1,1,1
0.56517,0.44555,0.88716,1,-59.0,2.2611,923.75,1,1,0
1.3156,-0.15158,0.13456,1,-58.0,0.5645,923.75,1,1,1
1.3625,-0.20899,0.16876,1,-57.5,1.195,922.75,1,1,1
0.49481,0.92784,0.20297,1,-60.0,0.58291,923.25,1,1,0
1.3508,-0.22048,0.12315,1,-58.0,5.4318,921.25,1,1,1
0.40101,0.91636,0.19157,1,-57.5,0.73478,922.75,1,1,0
0.55344,0.85894,0.22578,1,-58.0,5.7555,920.75,1,1,0
0.44791,0.91636,0.13456,1,-59.5,2.0157,925.25,1,1,0
1.1163,-0.048229,0.043332,1,-58.0,6.1681,920.75,1,1,1
-0.13836,0.91636,0.077541,1,-56.0,5.2754,923.25,1,1,0
0.56517,0.44555,0.88716,1,-61.0,4.6725,924.25,1,1,0
1.3742,-0.20899,0.13456,1,-57.0,1.2149,922.75,1,1,1
-0.19699,0.99674,0.020525,1,-55.0,4.7922,920.25,1,1,0
0.037521,0.70966,0.71611,1,-61.0,4.7415,925.75,1,1,0
0.91693,-0.0022966,-0.059296,1,-58.5,5.8844,924.75,1,1,1
-0.044557,0.93932,0.11175,1,-57.5,0.89738,924.75,1,1,0
0.92865,-0.036746,-0.047893,1,-57.0,5.6098,921.25,1,1,1
0.40101,0.93932,0.077541,1,-59.0,5.5499,923.75,1,1,0
0.43619,0.92784,0.15736,1,-57.5,5.0161,921.75,1,1,0
0.94038,-0.01378,-0.03649,1,-58.0,5.9749,924.75,1,1,1
-0.079733,0.98526,0.066138,1,-57.0,0.58598,922.75,1,1,0
-0.056282,0.96229,0.12315,1,-62.5,5.372,923.25,1,1,0
0.92865,-0.036746,-0.047893,1,-58.5,5.7448,924.75,1,1,1
0.99901,-0.025263,-0.03649,1,-57.0,5.5085,921.25,1,1,1
0.096148,0.90487,0.15736,1,-58.0,5.9564,923.75,1,1,0
